Publication Type,Authors,Title,Abstract,DOI,ID,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31
J,"Matthews, JA; Wnek, GE; Simpson, DG; Bowlin, GL",Electrospinning of collagen nanofibers,"Electrospinning is a fabrication process that uses an electric field to control the deposition of polymer fibers onto a target substrate. This electrostatic processing strategy can be used to fabricate fibrous polymer mats composed of fiber diameters ranging from several microns down to 100 nm or less. In this study, we describe how electrospinning can be adapted to produce tissue-engineering scaffolds composed of collagen nanofibers. Optimizing conditions for calfskin type I collagen produced a matrix composed of 100 nm fibers that exhibited the 67 nm banding pattern that is characteristic of native collagen. The structural properties of electrospun collagen varied with the tissue of origin (type I from skin vs type I from placenta), the isotype (type I vs type 111), and the concentration of the collagen solution used to spin the fibers. Electrospinning is a rapid and efficient process that can be used to selectively deposit polymers in a random fashion or along a predetermined and defined axis. Toward that end, our experiments demonstrate that it is possible to tailor subtle mechanical properties into a matrix by controlling fiber orientation. The inherent properties of the electrospinning process make it possible to fabricate complex, and seamless, three-dimensional shapes. Electrospun collagen promotes cell growth and the penetration of cells into the engineered matrix. The structural, material, and biological properties of electrospun collagen suggest that this material may represent a nearly ideal tissue engineering scaffold.",10.1021/bm015533u,0,yes,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes
J,"Niesen, FH; Berglund, H; Vedadi, M",The use of differential scanning fluorimetry to detect ligand interactions that promote protein stability,"Differential scanning fluorimetry (DSF) is a rapid and inexpensive screening method to identify low-molecular-weight ligands that bind and stabilize purified proteins. The temperature at which a protein unfolds is measured by an increase in the fluorescence of a dye with affinity for hydrophobic parts of the protein, which are exposed as the protein unfolds. A simple fitting procedure allows quick calculation of the transition midpoint; the difference in the temperature of this midpoint in the presence and absence of ligand is related to the binding affinity of the small molecule, which can be a low-molecular-weight compound, a peptide or a nucleic acid. DSF is best performed using a conventional real-time PCR instrument. Ligand solutions from a storage plate are added to a solution of protein and dye, distributed into the wells of the PCR plate and fluorescence intensity measured as the temperature is raised gradually. Results can be obtained in a single day.",10.1038/nprot.2007.321,1,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,yes,yes,no
J,"Whitmore, L; Wallace, BA",Protein secondary structure analyses from circular dichroism spectroscopy: Methods and reference databases,"Circular dichroism (CD) spectroscopy has been a valuable method for the analysis of protein secondary structures for many years. With the advent of synchrotron radiation circular dichroism (SRCD) and improvements in instrumentation for conventional CD, lower wavelength data are obtainable and the information content of the spectra increased. In addition, new computation and bioinformatics methods have been developed and new reference databases have been created, which greatly improve and facilitate the analyses of CD spectra. This article discusses recent developments in the analysis of protein secondary structures, including features of the DICHROWEB analysis webserver. (c) 2007 Wiley Periodicals, Inc.",10.1002/bip.20853,2,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,no
J,"Birney, E; Clamp, M; Durbin, R",GeneWise and genomewise,"We present two algorithms in this paper: GeneWise, which predicts gene structure using similar protein sequences, and Genomewise, which provides a gene structure final parse across cDNA- and EST-defined spliced structure. Both algorithms are heavily used by the Ensembl annotation system. The GeneWise algorithm was developed from a principled combination of hidden Markov models (HMMs). Both algorithms are highly accurate and can provide both accurate and complete gene structures when used with the correct evidence.",10.1101/gr.1865504,3,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,no,yes,yes,
J,"Schroeder, A; Mueller, O; Stocker, S; Salowsky, R; Leiber, M; Gassmann, M; Lightfoot, S; Menzel, W; Granzow, M; Ragg, T",The RIN: an RNA integrity number for assigning integrity values to RNA measurements,"Background: The integrity of RNA molecules is of paramount importance for experiments that try to reflect the snapshot of gene expression at the moment of RNA extraction. Until recently, there has been no reliable standard for estimating the integrity of RNA samples and the ratio of 28S:18S ribosomal RNA, the common measure for this purpose, has been shown to be inconsistent. The advent of microcapillary electrophoretic RNA separation provides the basis for an automated high-throughput approach, in order to estimate the integrity of RNA samples in an unambiguous way. Methods: A method is introduced that automatically selects features from signal measurements and constructs regression models based on a Bayesian learning technique. Feature spaces of different dimensionality are compared in the Bayesian framework, which allows selecting a final feature combination corresponding to models with high posterior probability. Results: This approach is applied to a large collection of electrophoretic RNA measurements recorded with an Agilent 2100 bioanalyzer to extract an algorithm that describes RNA integrity. The resulting algorithm is a user-independent, automated and reliable procedure for standardization of RNA quality control that allows the calculation of an RNA integrity number (RIN). Conclusion: Our results show the importance of taking characteristics of several regions of the recorded electropherogram into account in order to get a robust and reliable prediction of RNA integrity, especially if compared to traditional methods.",10.1186/1471-2199-7-3,4,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,
J,"Siguier, P; Perochon, J; Lestrade, L; Mahillon, J; Chandler, M",ISfinder: the reference centre for bacterial insertion sequences,"ISfinder (www-is.biotoul.fr) is a dedicated database for bacterial insertion sequences (ISs). It has superseded the Stanford reference center. One of its functions is to assign IS names and to provide a focal point for a coherent nomenclature. It is also the repository for ISs. Each new IS is indexed together with information such as its DNA sequence and open reading frames or potential coding sequences, the sequence of the ends of the element and target sites, its origin and distribution together with a bibliography where available. Another objective is to continuously monitor ISs to provide updated comprehensive groupings or families and to provide some insight into their phylogenies. The site also contains extensive background information on ISs and transposons in general. Online tools are gradually being added. At present an online Blast facility against the entire bank is available. But additional features will include alignment capability, PsiBLAST and HMM profiles. ISfinder also includes a section on bacterial genomes and is involved in annotating the IS content of these genomes. Finally, this database is currently recommended by several microbiology journals for registration of new IS elements before their publication.",10.1093/nar/gkj014,5,yes,no,no,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,yes
J,"Nakano, K; Vousden, KH","<i>PUMA</i>, a novel proapoptotic gene, is induced by p53","The p53 tumor-suppressor protein functions as a transcriptional activator, and several p53-inducible genes that play a role in the induction of apoptosis in response to p53 have been described. We have identified a novel gene named PUMA (p53 upregulated modulator of apoptosis) as a target for activation by p53. This gene encodes two BH3 domain-containing proteins (PUMA-alpha and PUMA-beta) that are induced in cells following p53 activation. PUMA-a( and PUMA-P show similar activities; they bind to Bcl-2, localize to the mitochondria to induce cytochrome c release, and activate the rapid induction of programmed cell death. Antisense inhibition of PUMA expression reduced the apoptotic response to p53, and PUMA is likely to play a role in mediating p53-induced cell death through the cytochrome c/Apaf-1-dependent pathway.",10.1016/S1097-2765(01)00214-3,6,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,yes,yes,
J,"Ji, P; Diederichs, S; Wang, WB; Böing, S; Metzger, R; Schneider, PM; Tidow, N; Brandt, B; Buerger, H; Bulk, E; Thomas, M; Berdel, WE; Serve, H; Müller-Tidow, C","MALAT-1, a novel noncoding RNA, and thymosin β4 predict metastasis and survival in early-stage non-small cell lung cancer","Early-stage non-small cell lung cancer (NSCLC) can be cured by surgical resection, but a substantial fraction of patients ultimately dies due to distant metastasis. In this study, we used subtractive hybridization to identify gene expression differences in stage I NSCLC tumors that either did or did not metastasize in the course of disease. Individual clones (n = 225) were sequenced and quantitative RT-PCR verified overexpression in metastasizing samples. Several of the identified genes (eIF4A1, thymosin beta4 and a novel transcript named MALAT-1) were demonstrated to be significantly associated with metastasis in NSCLC patients (n = 70). The genes' association with metastasis was stage- and histology specific. The Kaplan-Meier analyses identified MALAT-1 and thymosin beta4 as prognostic parameters for patient survival in stage I NSCLC. The novel MALAT-1 transcript is a noncoding RNA of more than 8000 nt expressed from chromosome 11q13. It is highly expressed in lung, pancreas and other healthy organs as well as in NSCLC. MALAT-1 expressed sequences are conserved across several species indicating its potentially important function. Taken together, these data contribute to the identification of early-stage NSCLC patients that are at high risk to develop metastasis. The identification of MALAT-1 emphasizes the potential role of noncoding RNAs in human cancer.",10.1038/sj.onc.1206928,7,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes
J,"Liao, Y; Smyth, GK; Shi, W","The Subread aligner: fast, accurate and scalable read mapping by seed-and-vote","Read alignment is an ongoing challenge for the analysis of data from sequencing technologies. This article proposes an elegantly simple multi-seed strategy, called seed-and-vote, for mapping reads to a reference genome. The new strategy chooses the mapped genomic location for the read directly from the seeds. It uses a relatively large number of short seeds (called subreads) extracted from each read and allows all the seeds to vote on the optimal location. When the read length is <160 bp, overlapping subreads are used. More conventional alignment algorithms are then used to fill in detailed mismatch and indel information between the subreads that make up the winning voting block. The strategy is fast because the overall genomic location has already been chosen before the detailed alignment is done. It is sensitive because no individual subread is required to map exactly, nor are individual subreads constrained to map close by other subreads. It is accurate because the final location must be supported by several different subreads. The strategy extends easily to find exon junctions, by locating reads that contain sets of subreads mapping to different exons of the same gene. It scales up efficiently for longer reads.",10.1093/nar/gkt214,8,yes,yes,no,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes
J,"Girardin, SE; Boneca, IG; Viala, J; Chamaillard, M; Labigne, A; Thomas, G; Philpott, DJ; Sansonetti, PJ",Nod2 is a general sensor of peptidoglycan through muramyl dipeptide (MDP) detection,"Nod2 activates the NF-kappaB pathway following intracellular stimulation by bacterial products. Recently, mutations in Nod2 have been shown to be associated with Crohn's disease, suggesting a role for bacteria-host interactions in the etiology of this disorder. We show here that Nod2 is a general sensor of peptidoglycan through the recognition of muramyl dipeptide (MDP), the minimal bioactive peptidoglycan motif common to all bacteria. Moreover, the 3020insC frameshift mutation, the most frequent Nod2 variant associated with Crohn's disease patients, fully abrogates Nod2-dependent detection of peptidoglycan and MDP. Together, these results impact on the understanding of Crohn's disease development. Additionally, the characterization of Nod2 as the first pathogen-recognition molecule that detects MDP will help to unravel the well known biological activities of this immunomodulatory compound.",10.1074/jbc.C200651200,9,yes,no,yes,no,yes,no,yes,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,yes,yes,
